zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
59489,21513,"Fergus Electric Coop, Inc",MT,Bundled,Cooperative,0.09188735546437897,0.12752487187217365,0.15768725361366623
59067,21513,"Fergus Electric Coop, Inc",MT,Bundled,Cooperative,0.09188735546437897,0.12752487187217365,0.15768725361366623
59450,21513,"Fergus Electric Coop, Inc",MT,Bundled,Cooperative,0.09188735546437897,0.12752487187217365,0.15768725361366623
59451,21513,"Fergus Electric Coop, Inc",MT,Bundled,Cooperative,0.09188735546437897,0.12752487187217365,0.15768725361366623
59452,21513,"Fergus Electric Coop, Inc",MT,Bundled,Cooperative,0.09188735546437897,0.12752487187217365,0.15768725361366623
59453,21513,"Fergus Electric Coop, Inc",MT,Bundled,Cooperative,0.09188735546437897,0.12752487187217365,0.15768725361366623
59457,21513,"Fergus Electric Coop, Inc",MT,Bundled,Cooperative,0.09188735546437897,0.12752487187217365,0.15768725361366623
59535,21513,"Fergus Electric Coop, Inc",MT,Bundled,Cooperative,0.09188735546437897,0.12752487187217365,0.15768725361366623
59538,21513,"Fergus Electric Coop, Inc",MT,Bundled,Cooperative,0.09188735546437897,0.12752487187217365,0.15768725361366623
59469,21513,"Fergus Electric Coop, Inc",MT,Bundled,Cooperative,0.09188735546437897,0.12752487187217365,0.15768725361366623
59463,21513,"Fergus Electric Coop, Inc",MT,Bundled,Cooperative,0.09188735546437897,0.12752487187217365,0.15768725361366623
59462,21513,"Fergus Electric Coop, Inc",MT,Bundled,Cooperative,0.09188735546437897,0.12752487187217365,0.15768725361366623
59465,21513,"Fergus Electric Coop, Inc",MT,Bundled,Cooperative,0.09188735546437897,0.12752487187217365,0.15768725361366623
59464,21513,"Fergus Electric Coop, Inc",MT,Bundled,Cooperative,0.09188735546437897,0.12752487187217365,0.15768725361366623
29360,21526,City of Laurens - (SC),SC,Bundled,Municipal,0.1172774190762055,0.10620151055849561,0.14304047585097066
86442,21538,"Mohave Electric Cooperative, I",AZ,Bundled,Cooperative,0.09661177163540326,0.07839802729475788,0.10733716607544581
